player,position,school,weight,dash,bench,vertical,broad,shuttle,cone,hand,arm,wing,height
Josh Johnson,RB,UL Monroe,209.0,4.61,22.0,35.5,115.0,4.4,7.16,8.75,29.625,71.875,68.875
Josh Pederson,TE,UL Monroe,234.0,4.81,19.0,28.5,110.0,4.43,7.31,9.625,31.5,75.375,76.375
Kenny Randall,IDL,Charleston,302.0,5.04,29.0,34.0,117.0,4.7,7.59,10.25,32.75,79.5,73.625
Darius Stills,IDL,West Virginia,278.0,4.98,23.0,32.5,110.0,4.49,7.18,8.875,32.25,76.5,72.5
Chase Behrndt,IOL,West Virginia,324.0,5.55,25.0,24.5,101.0,4.93,8.21,10.375,33.5,78.5,75.5
Michael Brown,IOL,West Virginia,340.0,5.61,24.0,23.5,86.0,5.03,8.35,10.375,33.625,79.5,75.25
Kyle Poland,LS,West Virginia,237.0,4.97,12.0,32.5,111.0,4.5,7.47,9.125,28.625,73.75,73.0
John Brunner,WR,Western Illinois,194.0,,11.0,32.5,121.0,4.3,6.77,8.625,32.125,76.375,74.125
Syrus Tuitele,OT,Fresno State,311.0,5.21,36.0,26.0,94.0,4.89,8.25,10.125,32.5,77.5,77.5
Riley Patterson,K,Memphis,181.0,,,,,,,8.375,30.5,72.25,70.25
Brady White,QB,Memphis,210.0,4.84,,29.0,,4.33,6.97,10.125,31.5,74.375,73.0
Kenneth Gainwell,RB,Memphis,201.0,4.47,21.0,35.0,121.0,4.46,7.26,9.875,30.625,70.25,68.375
Jeremiah Littles,IDL,South Alabama,278.0,5.15,17.0,26.0,98.0,4.87,7.9,9.125,32.25,77.125,72.75
Ifeatu Melifonwu,CB,Syracuse,205.0,4.48,16.0,41.5,134.0,4.34,7.01,8.875,32.25,78.5,74.5
Nolan Cooney,P,Syracuse,195.0,,,,,,,9.25,31.75,75.25,74.25
Andre Cisco,S,Syracuse,216.0,,17.0,,,,,10.625,32.5,77.25,72.625
Garret Wallow,LB,TCU,220.0,4.65,22.0,32.5,122.0,4.12,6.87,9.5,30.875,74.375,73.625
Trevon Moehrig,S,TCU,202.0,4.5,14.0,33.0,,4.19,,9.75,30.625,73.375,72.625
Ar'Darius Washington,S,TCU,178.0,4.61,17.0,37.5,127.0,4.1,7.06,9.5,29.25,70.875,67.625
Artayvious Lynn,TE,TCU,271.0,4.78,15.0,32.0,110.0,4.54,7.47,9.25,33.625,80.125,76.75
Adam Jewell,IOL,Air Force,289.0,5.37,,27.5,107.0,,,9.5,32.125,78.5,74.375
Nolan Laufenberg,IOL,Air Force,312.0,5.34,,29.5,105.0,4.77,7.7,9.75,32.5,79.25,76.125
Parker Ferguson,OT,Air Force,306.0,5.19,24.0,31.0,105.0,4.9,7.75,9.25,32.875,79.625,75.75
Donald Hammond III,QB,Air Force,228.0,4.8,11.0,30.0,117.0,4.43,7.33,9.75,32.625,75.5,72.125
Tim Tanner-Blair,IOL,Bowling Green,288.0,5.59,32.0,21.0,93.0,4.95,8.06,9.875,32.875,78.75,75.875
Quintin Morris,TE,Bowling Green,243.0,4.6,22.0,34.0,119.0,4.55,7.12,10.375,33.125,79.25,74.25
Mustafa Johnson,IDL,Colorado,280.0,,27.0,29.0,105.0,4.51,7.18,10.125,32.125,77.75,72.125
Warren Jackson,WR,Colorado State,219.0,4.67,11.0,33.5,123.0,4.53,7.81,9.375,33.5,81.375,78.0
Asante Samuel Jr.,CB,Florida State,180.0,4.45,12.0,35.0,124.0,4.13,6.95,8.875,30.125,72.25,70.125
Joshua Kaindoh,EDGE,Florida State,260.0,4.7,21.0,36.5,125.0,4.38,7.21,9.5,34.5,81.875,77.75
Janarius Robinson,EDGE,Florida State,263.0,4.72,25.0,34.0,121.0,4.4,7.31,10.875,35.25,86.25,77.375
Marvin Wilson,IDL,Florida State,303.0,5.12,23.0,25.5,107.0,4.91,7.64,9.75,33.375,81.125,75.875
Hamsah Nasirildeen,S,Florida State,215.0,,17.0,32.0,,4.31,7.05,9.75,34.5,81.875,75.25
Tamorrion Terry,WR,Florida State,207.0,4.44,15.0,32.5,126.0,4.53,7.0,9.5,33.375,78.125,74.75
Chauncey Golston,EDGE,Iowa,269.0,4.79,22.0,36.0,119.0,4.65,7.52,10.375,34.75,84.25,76.75
Alaric Jackson,OT,Iowa,321.0,5.38,20.0,25.0,103.0,4.97,7.7,9.25,33.875,82.375,77.5
Nick Bolton,LB,Missouri,237.0,4.6,24.0,32.0,115.0,4.5,7.4,10.375,31.875,76.25,71.125
Larry Rountree III,RB,Missouri,211.0,4.7,18.0,30.0,108.0,4.47,6.96,9.125,30.75,73.875,70.625
Tyree Gillespie,S,Missouri,207.0,4.43,15.0,35.5,108.0,4.39,7.06,9.5,31.25,75.25,71.75
Damon Hazelton,WR,Missouri,206.0,4.64,,37.5,120.0,4.32,7.11,9.75,33.375,78.875,74.75
Elerson Smith,EDGE,Northern Iowa,252.0,4.78,26.0,41.5,127.0,4.39,7.11,10.5,33.25,82.875,78.25
Spencer Brown,OT,Northern Iowa,311.0,4.94,29.0,31.5,117.0,4.4,6.96,10.375,34.75,82.625,80.25
Shakif Seymour,RB,Toledo,220.0,4.74,18.0,31.5,116.0,4.46,7.36,9.375,30.5,75.25,71.375
Deonte Brown,IOL,Alabama,344.0,5.57,,27.0,96.0,5.18,8.33,9.125,32.375,80.75,75.25
Landon Dickerson,IOL,Alabama,333.0,,,,,,,10.375,33.25,81.125,77.625
Joshua McMillon,LB,Alabama,236.0,4.95,14.0,35.5,113.0,4.5,,10.5,33.125,79.75,75.375
Dylan Moses,LB,Alabama,235.0,,,,,,,9.25,31.875,78.25,73.75
Thomas Fletcher,LS,Alabama,235.0,4.92,13.0,33.5,109.0,4.58,7.69,9.625,31.5,76.5,72.75
Alex Leatherwood,OT,Alabama,312.0,5.01,,34.5,118.0,4.65,7.45,9.5,33.875,84.625,77.125
Mac Jones,QB,Alabama,217.0,4.83,,32.0,116.0,4.39,7.04,9.75,32.625,79.125,74.625
Carl Tucker,TE,Alabama,245.0,4.95,,31.5,117.0,4.57,7.75,9.25,33.125,78.25,73.5
DeVonta Smith,WR,Alabama,170.0,,,,,,,9.25,31.875,78.25,72.25
Jaylen Waddle,WR,Alabama,180.0,,,,,,,9.125,30.375,74.625,69.5
Donnell Alexander,CB,Saginaw Valley State,171.0,4.76,17.0,37.0,115.0,4.38,7.2,8.875,28.125,69.875,67.875
